"Rownum","Rent"
169,85055.2703187446
246,44818.4858551219
234,29192.6930063736
57,53412.29460692
341,22689.760423616
285,91997.0381634146
88,67370.2962805478
136,6772.84050013714
257,3771.31048736046
327,71450.3010822556
305,67149.7594118828
93,70382.2532057125
232,8.41864044034367
141,41512.8724324428
58,57504.6757540854
38,48496.6330187364
281,69794.2685121441
221,9655.15444307033
180,30441.8352577742
64,100366.300483082
371,52789.6477508488
321,24001.488215896
218,67181.5340458741
152,18502.1378229136
256,22905.9785341827
90,46065.2331793684
165,83485.0963352952
242,81356.4525260543
89,90816.4066976705
21,27744.4771846178
223,-166.872462865006
304,56642.1425555915
106,89375.7001869741
259,52552.0356783124
450,85135.354336923
283,49732.6593260673
418,33227.9799891508
114,40736.8017607813
267,-186.034492048818
126,61838.9066308928
107,66522.6761658358
82,49869.7950980934
79,69377.2658996121
117,91405.435831987
29,3000.00788860042
252,32522.0821939117
360,48768.5905136753
211,51417.9319565914
300,84428.6527543001
410,62451.2604710863
54,84829.9327937125
132,79727.3868982391
68,86288.157513789
92,309588.476133702
81,61248.1357343683
216,16689.7348096509
77,67878.025907178
324,16345.051873313
95,105725.98723787
98,25500.1014964547
100,60516.1760296004
312,41831.7439552451
461,75974.7488330309
55,256400.658883116
83,341261.245459195
393,49816.9470399517
163,6970.40931531775
99,38043.5761886489
239,33037.1367816126
188,39131.7299505892
118,37843.0414036554
309,52515.1577159154
74,72950.5718058148
96,308323.099735664
19,-1306.96150036526
27,701.821648291414
187,37659.1684090908
170,36409.7795515103
87,22625.5967959446
243,65022.8279046354
121,220227.590448067
249,22153.1430880247
80,72468.0452839695
307,20153.0405706374
266,26069.056426032
310,66407.1432134987
86,97969.1332387399
76,61123.0331423482
430,95089.4410592018
65,70975.3588151978
291,34671.7644356545
248,8841.4565469629
364,39883.4074275668
233,82478.9662312263
122,85181.3866720174
25,63962.9254475956
69,58127.5483982083
91,240251.544404921
60,33861.9814613367
84,64390.1504265466
51,231802.899339465
130,73209.1752859821
111,95413.4190979417
153,23148.5975068167
97,55017.6504575618
210,7209.27738990223
120,83341.0306567356
129,252811.927489309
358,17642.8431316922
115,263531.045859693
127,58046.6945900692
451,52242.9741523213
228,7306.69511215553
102,61084.5591449327
199,93707.7377347655
241,77529.4866249044
235,46361.9785812623
260,14316.4167219985
361,63149.7385053159
133,71699.2653521346
72,48845.6947588385
125,65003.408148255
63,65161.2261759891
244,77529.4866249044
61,74196.0125671156
67,92693.4093882065
52,68702.2653720684
462,21954.4364415611
50,89104.241595338
85,54302.2755468124
78,254227.226202864
59,71716.4828763791
112,67924.942777907
105,74139.5691894118
110,63743.8310252804
128,59836.5858731958
109,83556.1928128096
56,73707.4753677946
351,46226.5688582098
104,223526.473591446
311,73286.7871648531
376,71398.1215287192
204,56762.3984288277
94,119143.264184585
108,45339.4239551822
62,236110.279833135
53,63118.9503737829
329,102613.212626137
458,66789.8163558001
73,111198.478018354
101,93105.5593466539
123,62590.4927978044
103,25461.2811769328
387,77384.9072240318
